wavelength [nm],transmission
391,2.58E-06
391.2,2.28E-06
391.4,2.01E-06
391.6,1.78E-06
391.8,1.57E-06
392,1.39E-06
392.2,1.23E-06
392.4,1.08E-06
392.6,9.57E-07
392.8,8.45E-07
393,7.47E-07
393.2,6.60E-07
393.4,5.83E-07
393.6,5.15E-07
393.8,4.55E-07
394,4.02E-07
394.2,3.55E-07
394.4,3.13E-07
394.6,2.77E-07
394.8,2.45E-07
395,2.16E-07
395.2,2.14E-07
395.4,2.13E-07
395.6,2.13E-07
395.8,2.12E-07
396,2.12E-07
396.2,2.11E-07
396.4,2.11E-07
396.6,2.10E-07
396.8,2.10E-07
397,2.09E-07
397.2,2.09E-07
397.4,2.08E-07
397.6,2.08E-07
397.8,2.07E-07
398,2.07E-07
398.2,2.06E-07
398.4,2.06E-07
398.6,2.05E-07
398.8,2.05E-07
399,2.04E-07
399.2,2.04E-07
399.4,2.03E-07
399.6,2.03E-07
399.8,2.02E-07
400,2.02E-07
400.2,2.01E-07
400.4,2.00E-07
400.6,1.99E-07
400.8,1.98E-07
401,1.97E-07
401.2,1.96E-07
401.4,1.95E-07
401.6,1.94E-07
401.8,1.93E-07
402,1.92E-07
402.2,1.91E-07
402.4,1.90E-07
402.6,1.89E-07
402.8,1.88E-07
403,1.87E-07
403.2,1.87E-07
403.4,1.86E-07
403.6,1.85E-07
403.8,1.84E-07
404,1.83E-07
404.2,1.82E-07
404.4,1.81E-07
404.6,1.80E-07
404.8,1.79E-07
405,1.78E-07
405.2,1.79E-07
405.4,1.79E-07
405.6,1.79E-07
405.8,1.80E-07
406,1.80E-07
406.2,1.80E-07
406.4,1.81E-07
406.6,1.81E-07
406.8,1.81E-07
407,1.82E-07
407.2,1.82E-07
407.4,1.82E-07
407.6,1.83E-07
407.8,1.83E-07
408,1.83E-07
408.2,1.84E-07
408.4,1.84E-07
408.6,1.84E-07
408.8,1.85E-07
409,1.85E-07
409.2,1.85E-07
409.4,1.86E-07
409.6,1.86E-07
409.8,1.87E-07
410,1.87E-07
410.2,1.83E-07
410.4,1.78E-07
410.6,1.74E-07
410.8,1.69E-07
411,1.65E-07
411.2,1.61E-07
411.4,1.57E-07
411.6,1.53E-07
411.8,1.49E-07
412,1.46E-07
412.2,1.42E-07
412.4,1.39E-07
412.6,1.35E-07
412.8,1.32E-07
413,1.29E-07
413.2,1.25E-07
413.4,1.22E-07
413.6,1.19E-07
413.8,1.16E-07
414,1.13E-07
414.2,1.11E-07
414.4,1.08E-07
414.6,1.05E-07
414.8,1.03E-07
415,1.00E-07
415.2,1.00E-07
415.4,1.00E-07
415.6,1.00E-07
415.8,1.00E-07
416,1.00E-07
416.2,1.00E-07
416.4,1.00E-07
416.6,1.00E-07
416.8,1.00E-07
417,1.00E-07
417.2,1.00E-07
417.4,1.00E-07
417.6,1.00E-07
417.8,1.00E-07
418,1.00E-07
418.2,1.00E-07
418.4,1.00E-07
418.6,1.00E-07
418.8,1.00E-07
419,1.00E-07
419.2,1.00E-07
419.4,1.00E-07
419.6,1.00E-07
419.8,1.00E-07
420,1.00E-07
420.2,1.00E-07
420.4,1.00E-07
420.6,1.00E-07
420.8,1.00E-07
421,1.00E-07
421.2,1.00E-07
421.4,1.00E-07
421.6,1.00E-07
421.8,1.00E-07
422,1.00E-07
422.2,1.00E-07
422.4,1.00E-07
422.6,1.00E-07
422.8,1.00E-07
423,1.00E-07
423.2,1.00E-07
423.4,1.00E-07
423.6,1.00E-07
423.8,1.00E-07
424,1.00E-07
424.2,1.00E-07
424.4,1.00E-07
424.6,1.00E-07
424.8,1.00E-07
425,1.00E-07
425.2,1.00E-07
425.4,1.00E-07
425.6,1.00E-07
425.8,1.00E-07
426,1.00E-07
426.2,1.00E-07
426.4,1.00E-07
426.6,1.00E-07
426.8,1.00E-07
427,1.00E-07
427.2,1.00E-07
427.4,1.00E-07
427.6,1.00E-07
427.8,1.00E-07
428,1.00E-07
428.2,1.00E-07
428.4,1.00E-07
428.6,1.00E-07
428.8,1.00E-07
429,1.00E-07
429.2,1.00E-07
429.4,1.00E-07
429.6,1.00E-07
429.8,1.00E-07
430,1.00E-07
430.2,1.00E-07
430.4,1.00E-07
430.6,1.00E-07
430.8,1.00E-07
431,1.00E-07
431.2,1.00E-07
431.4,1.00E-07
431.6,1.00E-07
431.8,1.00E-07
432,1.00E-07
432.2,1.00E-07
432.4,1.00E-07
432.6,1.00E-07
432.8,1.00E-07
433,1.00E-07
433.2,1.00E-07
433.4,1.00E-07
433.6,1.00E-07
433.8,1.00E-07
434,1.00E-07
434.2,1.00E-07
434.4,1.00E-07
434.6,1.00E-07
434.8,1.00E-07
435,1.00E-07
435.2,1.00E-07
435.4,1.00E-07
435.6,1.00E-07
435.8,1.00E-07
436,1.00E-07
436.2,1.00E-07
436.4,1.00E-07
436.6,1.00E-07
436.8,1.00E-07
437,1.00E-07
437.2,1.00E-07
437.4,1.00E-07
437.6,1.00E-07
437.8,1.00E-07
438,1.00E-07
438.2,1.00E-07
438.4,1.00E-07
438.6,1.00E-07
438.8,1.00E-07
439,1.00E-07
439.2,1.00E-07
439.4,1.00E-07
439.6,1.00E-07
439.8,1.00E-07
440,1.00E-07
440.2,1.00E-07
440.4,1.00E-07
440.6,1.00E-07
440.8,1.00E-07
441,1.00E-07
441.2,1.00E-07
441.4,1.00E-07
441.6,1.00E-07
441.8,1.00E-07
442,1.00E-07
442.2,1.00E-07
442.4,1.00E-07
442.6,1.00E-07
442.8,1.00E-07
443,1.00E-07
443.2,1.00E-07
443.4,1.00E-07
443.6,1.00E-07
443.8,1.00E-07
444,1.00E-07
444.2,1.00E-07
444.4,1.00E-07
444.6,1.00E-07
444.8,1.00E-07
445,1.00E-07
445.2,1.00E-07
445.4,1.00E-07
445.6,1.00E-07
445.8,1.00E-07
446,1.00E-07
446.2,1.00E-07
446.4,1.00E-07
446.6,1.00E-07
446.8,1.00E-07
447,1.00E-07
447.2,1.00E-07
447.4,1.00E-07
447.6,1.00E-07
447.8,1.00E-07
448,1.00E-07
448.2,1.00E-07
448.4,1.00E-07
448.6,1.00E-07
448.8,1.00E-07
449,1.00E-07
449.2,1.00E-07
449.4,1.00E-07
449.6,1.00E-07
449.8,1.00E-07
450,1.00E-07
450.2,1.00E-07
450.4,1.00E-07
450.6,1.00E-07
450.8,1.00E-07
451,1.00E-07
451.2,1.00E-07
451.4,1.00E-07
451.6,1.00E-07
451.8,1.00E-07
452,1.00E-07
452.2,1.00E-07
452.4,1.00E-07
452.6,1.00E-07
452.8,1.00E-07
453,1.00E-07
453.2,1.00E-07
453.4,1.00E-07
453.6,1.00E-07
453.8,1.00E-07
454,1.00E-07
454.2,1.00E-07
454.4,1.00E-07
454.6,1.00E-07
454.8,1.00E-07
455,1.00E-07
455.2,1.00E-07
455.4,1.00E-07
455.6,1.00E-07
455.8,1.00E-07
456,1.00E-07
456.2,1.00E-07
456.4,1.00E-07
456.6,1.00E-07
456.8,1.00E-07
457,1.00E-07
457.2,1.00E-07
457.4,1.00E-07
457.6,1.00E-07
457.8,1.00E-07
458,1.00E-07
458.2,1.00E-07
458.4,1.00E-07
458.6,1.00E-07
458.8,1.00E-07
459,1.00E-07
459.2,1.00E-07
459.4,1.00E-07
459.6,1.00E-07
459.8,1.00E-07
460,1.00E-07
460.2,1.00E-07
460.4,1.00E-07
460.6,1.00E-07
460.8,1.00E-07
461,1.00E-07
461.2,1.00E-07
461.4,1.00E-07
461.6,1.00E-07
461.8,1.00E-07
462,1.00E-07
462.2,1.00E-07
462.4,1.00E-07
462.6,1.00E-07
462.8,1.00E-07
463,1.00E-07
463.2,1.00E-07
463.4,1.00E-07
463.6,1.00E-07
463.8,1.00E-07
464,1.00E-07
464.2,1.00E-07
464.4,1.00E-07
464.6,1.14E-07
464.8,1.33E-07
465,1.56E-07
465.2,1.82E-07
465.4,2.12E-07
465.6,2.47E-07
465.8,2.88E-07
466,3.36E-07
466.2,3.91E-07
466.4,4.56E-07
466.6,5.32E-07
466.8,6.21E-07
467,7.24E-07
467.2,8.44E-07
467.4,9.84E-07
467.6,1.15E-06
467.8,1.34E-06
468,1.56E-06
468.2,1.44E-06
468.4,1.33E-06
468.6,1.23E-06
468.8,1.14E-06
469,1.05E-06
469.2,9.72E-07
469.4,8.99E-07
469.6,8.30E-07
469.8,7.67E-07
470,7.09E-07
470.2,6.56E-07
470.4,6.06E-07
470.6,5.60E-07
470.8,5.17E-07
471,4.78E-07
471.2,4.42E-07
471.4,4.08E-07
471.6,3.98E-07
471.8,4.03E-07
472,4.08E-07
472.2,4.14E-07
472.4,4.19E-07
472.6,4.24E-07
472.8,4.30E-07
473,4.35E-07
473.2,4.41E-07
473.4,4.46E-07
473.6,4.52E-07
473.8,4.58E-07
474,4.64E-07
474.2,4.70E-07
474.4,4.76E-07
474.6,4.82E-07
474.8,4.88E-07
475,4.94E-07
475.2,4.97E-07
475.4,5.00E-07
475.6,5.03E-07
475.8,5.05E-07
476,5.08E-07
476.2,5.11E-07
476.4,5.14E-07
476.6,5.17E-07
476.8,5.20E-07
477,5.23E-07
477.2,5.26E-07
477.4,5.29E-07
477.6,5.32E-07
477.8,5.34E-07
478,5.37E-07
478.2,5.41E-07
478.4,5.44E-07
478.6,5.47E-07
478.8,5.50E-07
479,5.53E-07
479.2,5.56E-07
479.4,5.59E-07
479.6,5.62E-07
479.8,5.65E-07
480,5.68E-07
480.2,5.67E-07
480.4,5.65E-07
480.6,5.64E-07
480.8,5.62E-07
481,5.61E-07
481.2,5.59E-07
481.4,5.58E-07
481.6,5.56E-07
481.8,5.54E-07
482,5.53E-07
482.2,5.51E-07
482.4,5.50E-07
482.6,5.48E-07
482.8,5.47E-07
483,5.45E-07
483.2,5.43E-07
483.4,5.42E-07
483.6,5.40E-07
483.8,5.39E-07
484,5.37E-07
484.2,5.36E-07
484.4,5.34E-07
484.6,5.33E-07
484.8,5.31E-07
485,5.30E-07
485.2,5.32E-07
485.4,5.34E-07
485.6,5.36E-07
485.8,5.39E-07
486,5.41E-07
486.2,5.43E-07
486.4,5.46E-07
486.6,5.48E-07
486.8,5.50E-07
487,5.53E-07
487.2,5.55E-07
487.4,5.57E-07
487.6,5.60E-07
487.8,5.62E-07
488,5.64E-07
488.2,5.67E-07
488.4,5.69E-07
488.6,5.72E-07
488.8,5.74E-07
489,5.76E-07
489.2,5.79E-07
489.4,5.81E-07
489.6,5.84E-07
489.8,5.86E-07
490,5.89E-07
490.2,5.88E-07
490.4,5.87E-07
490.6,5.86E-07
490.8,5.85E-07
491,5.84E-07
491.2,5.83E-07
491.4,5.82E-07
491.6,5.82E-07
491.8,5.81E-07
492,5.80E-07
492.2,5.79E-07
492.4,5.78E-07
492.6,5.77E-07
492.8,5.76E-07
493,5.75E-07
493.2,5.74E-07
493.4,5.73E-07
493.6,5.73E-07
493.8,5.72E-07
494,5.71E-07
494.2,5.70E-07
494.4,5.69E-07
494.6,5.68E-07
494.8,5.67E-07
495,5.66E-07
495.2,5.69E-07
495.4,5.71E-07
495.6,5.73E-07
495.8,5.75E-07
496,5.78E-07
496.2,5.80E-07
496.4,5.82E-07
496.6,5.85E-07
496.8,5.87E-07
