wavelength [nm],transmission
518,0.00295
518.2,0.0029
518.4,0.00283
518.6,0.00278
518.8,0.00272
519,0.00266
519.2,0.00264
519.4,0.00263
519.6,0.00266
519.8,0.00273
520,0.0029
520.2,0.00308
520.4,0.00337
520.6,0.00367
520.8,0.00397
521,0.00423
521.2,0.00447
521.4,0.00469
521.6,0.00483
521.8,0.00496
522,0.00505
522.2,0.00504
522.4,0.005
522.6,0.00497
522.8,0.00494
523,0.00491
523.2,0.00505
523.4,0.00524
523.6,0.00559
523.8,0.00602
524,0.00659
524.2,0.00723
524.4,0.00811
524.6,0.00916
524.8,0.01044
525,0.01183
525.2,0.01358
525.4,0.01555
525.6,0.0177
525.8,0.02019
526,0.02288
526.2,0.0257
526.4,0.02858
526.6,0.03128
526.8,0.03372
527,0.03591
527.2,0.0376
527.4,0.03862
527.6,0.03911
527.8,0.03876
528,0.03823
528.2,0.03716
528.4,0.03573
528.6,0.0341
528.8,0.03248
529,0.03079
529.2,0.02919
529.4,0.02762
529.6,0.02635
529.8,0.02526
530,0.0244
530.2,0.02354
530.4,0.02302
530.6,0.02265
530.8,0.02241
531,0.02227
531.2,0.0224
531.4,0.02258
531.6,0.02301
531.8,0.02342
532,0.0239
532.2,0.02456
532.4,0.02525
532.6,0.0262
532.8,0.02709
533,0.02817
533.2,0.02936
533.4,0.03044
533.6,0.03176
533.8,0.03294
534,0.03412
534.2,0.03539
534.4,0.03644
534.6,0.03735
534.8,0.03827
535,0.03913
535.2,0.03982
535.4,0.04013
535.6,0.0404
535.8,0.04042
536,0.04023
536.2,0.03991
536.4,0.03955
536.6,0.03893
536.8,0.03819
537,0.03754
537.2,0.03684
537.4,0.03611
537.6,0.03524
537.8,0.03459
538,0.03391
538.2,0.03321
538.4,0.0326
538.6,0.03215
538.8,0.03167
539,0.03125
539.2,0.03097
539.4,0.03082
539.6,0.03069
539.8,0.03075
540,0.03079
540.2,0.03085
540.4,0.03108
540.6,0.03133
540.8,0.03158
541,0.03187
541.2,0.03219
541.4,0.03254
541.6,0.033
541.8,0.03355
542,0.03404
542.2,0.03422
542.4,0.03451
542.6,0.03489
542.8,0.03522
543,0.03517
543.2,0.03546
543.4,0.0355
543.6,0.03537
543.8,0.03527
544,0.03505
544.2,0.0347
544.4,0.03443
544.6,0.03416
544.8,0.03384
545,0.03342
545.2,0.03289
545.4,0.03239
545.6,0.03183
545.8,0.03128
546,0.03087
546.2,0.03035
546.4,0.02984
546.6,0.0293
546.8,0.02898
547,0.02849
547.2,0.02832
547.4,0.02803
547.6,0.02784
547.8,0.02774
548,0.02767
548.2,0.02765
548.4,0.0276
548.6,0.02763
548.8,0.02791
549,0.02815
549.2,0.02839
549.4,0.02864
549.6,0.029
549.8,0.0293
550,0.02963
550.2,0.03011
550.4,0.03054
550.6,0.03086
550.8,0.03134
551,0.03185
551.2,0.03224
551.4,0.03275
551.6,0.033
551.8,0.03319
552,0.0335
552.2,0.03365
552.4,0.03392
552.6,0.03405
552.8,0.03412
553,0.03407
553.2,0.03399
553.4,0.03385
553.6,0.03356
553.8,0.03332
554,0.03311
554.2,0.03263
554.4,0.03245
554.6,0.03197
554.8,0.03159
555,0.03116
555.2,0.03096
555.4,0.03048
555.6,0.03006
555.8,0.02966
556,0.02938
556.2,0.02911
556.4,0.02887
556.6,0.02856
556.8,0.02837
557,0.02826
557.2,0.02819
557.4,0.02824
557.6,0.02827
557.8,0.02843
558,0.02863
558.2,0.02891
558.4,0.02919
558.6,0.02941
558.8,0.02991
559,0.03022
559.2,0.0307
559.4,0.03126
559.6,0.03178
559.8,0.03255
560,0.03319
560.2,0.03379
560.4,0.03443
560.6,0.03484
560.8,0.03534
561,0.03584
561.2,0.03628
561.4,0.03665
561.6,0.03699
561.8,0.03731
562,0.03753
562.2,0.03757
562.4,0.03747
562.6,0.03723
