wavelength [nm],transmission
300,2.45E-07
300.2,2.42E-07
300.4,2.39E-07
300.6,2.36E-07
300.8,2.33E-07
301,2.30E-07
301.2,2.27E-07
301.4,2.25E-07
301.6,2.22E-07
301.8,2.19E-07
302,2.31E-07
302.2,2.43E-07
302.4,2.57E-07
302.6,2.71E-07
302.8,2.85E-07
303,3.01E-07
303.2,3.17E-07
303.4,3.34E-07
303.6,3.52E-07
303.8,3.72E-07
304,4.14E-07
304.2,4.70E-07
304.4,5.33E-07
304.6,6.04E-07
304.8,6.85E-07
305,7.76E-07
305.2,8.80E-07
305.4,9.98E-07
305.6,1.13E-06
305.8,1.28E-06
306,1.20E-06
306.2,9.69E-07
306.4,7.84E-07
306.6,6.35E-07
306.8,5.14E-07
307,4.17E-07
307.2,3.37E-07
307.4,2.73E-07
307.6,2.21E-07
307.8,1.79E-07
308,1.60E-07
308.2,1.65E-07
308.4,1.71E-07
308.6,1.77E-07
308.8,1.83E-07
309,1.90E-07
309.2,1.96E-07
309.4,2.03E-07
309.6,2.10E-07
309.8,2.17E-07
310,2.28E-07
310.2,2.72E-07
310.4,3.24E-07
310.6,3.86E-07
310.8,4.60E-07
311,5.48E-07
311.2,6.54E-07
311.4,7.79E-07
311.6,9.28E-07
311.8,1.11E-06
312,9.16E-07
312.2,7.49E-07
312.4,6.12E-07
312.6,5.01E-07
312.8,4.09E-07
313,3.35E-07
313.2,2.74E-07
313.4,2.24E-07
313.6,1.83E-07
313.8,1.50E-07
314,1.43E-07
314.2,1.42E-07
314.4,1.42E-07
314.6,1.42E-07
314.8,1.41E-07
315,1.41E-07
315.2,1.41E-07
315.4,1.40E-07
315.6,1.40E-07
315.8,1.40E-07
316,1.39E-07
316.2,1.38E-07
316.4,1.38E-07
316.6,1.37E-07
316.8,1.37E-07
317,1.36E-07
317.2,1.35E-07
317.4,1.35E-07
317.6,1.34E-07
317.8,1.33E-07
318,1.46E-07
318.2,1.86E-07
318.4,2.36E-07
318.6,3.00E-07
318.8,3.82E-07
319,4.85E-07
319.2,6.17E-07
319.4,7.84E-07
319.6,9.97E-07
319.8,1.27E-06
320,1.52E-06
320.2,1.16E-06
320.4,8.86E-07
320.6,6.76E-07
320.8,5.15E-07
321,3.93E-07
321.2,3.00E-07
321.4,2.29E-07
321.6,1.74E-07
321.8,1.33E-07
322,1.44E-07
322.2,1.60E-07
322.4,1.78E-07
322.6,1.98E-07
322.8,2.20E-07
323,2.44E-07
323.2,2.71E-07
323.4,3.01E-07
323.6,3.34E-07
323.8,3.71E-07
324,3.84E-07
324.2,3.88E-07
324.4,3.92E-07
324.6,3.96E-07
324.8,4.01E-07
325,4.05E-07
325.2,4.09E-07
325.4,4.14E-07
325.6,4.18E-07
325.8,4.23E-07
326,3.90E-07
326.2,3.37E-07
326.4,2.91E-07
326.6,2.51E-07
326.8,2.17E-07
327,1.87E-07
327.2,1.62E-07
327.4,1.40E-07
327.6,1.21E-07
327.8,1.04E-07
328,9.85E-08
328.2,1.07E-07
328.4,1.17E-07
328.6,1.28E-07
328.8,1.39E-07
329,1.52E-07
329.2,1.65E-07
329.4,1.80E-07
329.6,1.96E-07
329.8,2.14E-07
330,2.28E-07
330.2,2.01E-07
330.4,1.78E-07
330.6,1.57E-07
330.8,1.39E-07
331,1.22E-07
331.2,1.08E-07
331.4,9.54E-08
331.6,8.42E-08
331.8,7.44E-08
332,7.34E-08
332.2,7.29E-08
332.4,7.23E-08
332.6,7.18E-08
332.8,7.13E-08
333,7.07E-08
333.2,7.02E-08
333.4,6.97E-08
333.6,6.92E-08
333.8,6.87E-08
334,8.05E-08
334.2,9.90E-08
334.4,1.22E-07
334.6,1.50E-07
334.8,1.84E-07
335,2.27E-07
335.2,2.79E-07
335.4,3.43E-07
335.6,4.22E-07
335.8,5.19E-07
336,4.93E-07
336.2,3.93E-07
336.4,3.13E-07
336.6,2.50E-07
336.8,1.99E-07
337,1.59E-07
337.2,1.27E-07
337.4,1.01E-07
337.6,8.04E-08
337.8,6.41E-08
338,6.04E-08
338.2,7.11E-08
338.4,8.39E-08
338.6,9.88E-08
338.8,1.17E-07
339,1.37E-07
339.2,1.62E-07
339.4,1.91E-07
339.6,2.25E-07
339.8,2.65E-07
340,3.03E-07
340.2,2.78E-07
340.4,2.55E-07
340.6,2.35E-07
340.8,2.15E-07
341,1.98E-07
341.2,1.82E-07
341.4,1.67E-07
341.6,1.53E-07
341.8,1.41E-07
342,1.26E-07
342.2,1.12E-07
342.4,1.00E-07
342.6,8.91E-08
342.8,7.94E-08
343,7.08E-08
343.2,6.31E-08
343.4,5.63E-08
343.6,5.02E-08
343.8,4.47E-08
344,4.76E-08
344.2,5.43E-08
344.4,6.19E-08
344.6,7.05E-08
344.8,8.04E-08
345,9.16E-08
345.2,1.04E-07
345.4,1.19E-07
345.6,1.36E-07
345.8,1.55E-07
346,1.52E-07
346.2,1.33E-07
346.4,1.16E-07
346.6,1.01E-07
346.8,8.82E-08
347,7.70E-08
347.2,6.72E-08
347.4,5.87E-08
347.6,5.12E-08
347.8,4.47E-08
348,4.22E-08
348.2,4.51E-08
348.4,4.82E-08
348.6,5.16E-08
348.8,5.52E-08
349,5.90E-08
349.2,6.31E-08
349.4,6.75E-08
349.6,7.22E-08
349.8,7.72E-08
350,8.13E-08
350.2,7.55E-08
350.4,7.01E-08
350.6,6.51E-08
350.8,6.05E-08
351,5.62E-08
351.2,5.22E-08
351.4,4.85E-08
351.6,4.50E-08
351.8,4.18E-08
352,4.15E-08
352.2,4.15E-08
352.4,4.15E-08
352.6,4.15E-08
352.8,4.14E-08
353,4.14E-08
353.2,4.14E-08
353.4,4.13E-08
353.6,4.13E-08
353.8,4.13E-08
354,4.10E-08
354.2,4.06E-08
354.4,4.02E-08
354.6,3.99E-08
354.8,3.95E-08
355,3.92E-08
355.2,3.88E-08
355.4,3.84E-08
355.6,3.81E-08
355.8,3.77E-08
356,3.77E-08
356.2,3.79E-08
356.4,3.81E-08
356.6,3.82E-08
356.8,3.84E-08
357,3.86E-08
357.2,3.88E-08
357.4,3.90E-08
357.6,3.91E-08
357.8,3.93E-08
358,4.06E-08
358.2,4.36E-08
358.4,4.68E-08
358.6,5.02E-08
358.8,5.39E-08
359,5.79E-08
359.2,6.22E-08
359.4,6.67E-08
359.6,7.17E-08
359.8,7.69E-08
360,8.25E-08
360.2,8.74E-08
360.4,9.26E-08
360.6,9.81E-08
360.8,1.04E-07
361,1.10E-07
361.2,1.17E-07
361.4,1.24E-07
361.6,1.31E-07
361.8,1.39E-07
362,1.36E-07
362.2,1.32E-07
362.4,1.28E-07
362.6,1.24E-07
362.8,1.21E-07
363,1.17E-07
363.2,1.14E-07
363.4,1.10E-07
363.6,1.07E-07
363.8,1.04E-07
364,9.52E-08
364.2,8.55E-08
364.4,7.67E-08
364.6,6.89E-08
364.8,6.18E-08
365,5.55E-08
365.2,4.98E-08
365.4,4.47E-08
365.6,4.02E-08
365.8,3.61E-08
366,3.68E-08
366.2,4.10E-08
366.4,4.57E-08
366.6,5.09E-08
366.8,5.66E-08
367,6.31E-08
367.2,7.02E-08
367.4,7.82E-08
367.6,8.71E-08
367.8,9.70E-08
368,1.08E-07
368.2,1.19E-07
368.4,1.31E-07
368.6,1.45E-07
368.8,1.60E-07
369,1.77E-07
369.2,1.96E-07
369.4,2.16E-07
369.6,2.39E-07
369.8,2.64E-07
370,2.78E-07
370.2,2.20E-07
370.4,1.75E-07
370.6,1.39E-07
370.8,1.10E-07
371,8.71E-08
371.2,6.90E-08
371.4,5.47E-08
371.6,4.34E-08
371.8,3.44E-08
372,3.99E-08
372.2,4.81E-08
372.4,5.80E-08
372.6,7.00E-08
372.8,8.45E-08
373,1.02E-07
373.2,1.23E-07
373.4,1.48E-07
373.6,1.79E-07
373.8,2.16E-07
374,2.35E-07
374.2,2.47E-07
374.4,2.59E-07
374.6,2.73E-07
374.8,2.86E-07
375,3.01E-07
375.2,3.16E-07
375.4,3.32E-07
375.6,3.49E-07
375.8,3.67E-07
376,3.51E-07
376.2,3.14E-07
376.4,2.81E-07
376.6,2.52E-07
376.8,2.26E-07
377,2.02E-07
377.2,1.81E-07
377.4,1.62E-07
377.6,1.45E-07
377.8,1.30E-07
378,1.30E-07
378.2,1.50E-07
378.4,1.73E-07
378.6,1.99E-07
378.8,2.28E-07
379,2.63E-07
379.2,3.03E-07
379.4,3.48E-07
379.6,4.01E-07
379.8,4.61E-07
380,5.25E-07
380.2,5.60E-07
380.4,5.97E-07
380.6,6.37E-07
380.8,6.79E-07
381,7.24E-07
381.2,7.73E-07
381.4,8.24E-07
381.6,8.79E-07
381.8,9.37E-07
382,9.45E-07
382.2,9.45E-07
382.4,9.45E-07
382.6,9.45E-07
382.8,9.45E-07
383,9.46E-07
383.2,9.46E-07
383.4,9.46E-07
383.6,9.46E-07
